phonemes,ground_truth,prediction
diːzə aɪɡənʃaftən vɛɾdən ɪm tsuːzamənhaŋ mɪt fʊtsiːmɛŋən fɛɾvɛndət ʊm diː ʃnɪtmɛŋənoːpeːratsjoːn naxtsuːbɪldən,"Diese Eigenschaften werden im Zusammenhang mit Fuzzy-Mengen verwendet, um die Schnittmengen-Operation nachzubilden.","Diese Eigenschaften werden im Zusammenhang mit Fähigkeiten verwendet, um die Schnellmaßnahmen nachzubilden."
ɪn dɛɾ fɔlɡeːtsaɪt bɾaxtə ɛɾ ɛs hiːɾ bɪs tsʊm ʃtɛlfɜtɾətəndən deːkɑːn,In der Folgezeit brachte er es hier bis zum stellvertretenden Dekan.,In der Folgezeit brachte er es hier bis zum stellvertretenden Dekan.
ɪn deːn fɔlɡəndən jɑːrən vɑːɾ ziː ɪn diːvɛɾzən fɛɾnzeːpɾoːdʊktsjoːnən tsuː zeːən,In den folgenden Jahren war sie in diversen Fernsehproduktionen zu sehen.,In den folgenden Jahren war sie in diesen Fernsehproduktionen zu sehen.
zaɪn ɛnkəl hɛɾbɜt paɪpɜ vɑːɾ ɔɾdiːnɑriːʊs fyːɾ çiːr??ɡiː an dɛɾ joːhanəsɡuːtənbɛɾɡuːniːvɛɾziːtɛːt tsuː maɪnts,Sein Enkel Herbert Peiper war Ordinarius für Chirurgie an der Johannes-Gutenberg-Universität zu Mainz.,Sein Enkel erinnert Peter war Octavius für Chiurgi an der Johannes-Gutenbürger-Universität zu Mainz.
ɛɾ vɑːɾ aɪn frɔønt zeːneːkɑːs ʊnt aɪn eːpiːkuːreːɾ,Er war ein Freund Senecas und ein Epikureer.,Er war ein Freund Senegal und ein Emigranter.
zaɪnə bəeːɾdɪɡʊŋ fant aʊf deːm friːthoːf foːrəst lavn hɔlyːvoːt hɪls keːmeːtɜiː ʃtat,Seine Beerdigung fand auf dem Friedhof Forest Lawn - Hollywood Hills Cemetery statt.,Seine Beedenkung fand auf dem Friedhof vorerst Lannoy Holywood Hills Cemetery statt.
ɡɾiːçənlant bəziːktə ɪm ɛntʃpiːl diː dɔøtʃə manʃaft,Griechenland besiegte im Endspiel die deutsche Mannschaft.,Georgienland besiekte im Entspiel die deutsche Mannschaft.
viːɾ blaɪbən ɑːbɜ baɪ ʊnzərɜ maɪnʊŋ das ɛs aɪnə ɛntʃliːsʊŋ ɡeːbən zɔl,"Wir bleiben aber bei unserer Meinung, dass es eine Entschließung geben soll.","Wir bleiben aber bei unserer Meinung, dass es eine Entschließung geben soll."
tsuː deːn ɡɛstən jeːnɜ tsaɪt tsɛːltən aʊx mɪtɡliːdɜ dɛɾ ruːmɛːnɪʃən køːnɪçsfamiːlɪə,Zu den Gästen jener Zeit zählten auch Mitglieder der rumänischen Königsfamilie.,Zu den Gästen jener Zeit zählten auch Mitglieder der rumänischen Königsfamilie.
zoːmɪt vɑːɾ das pɾoːtɛstantɪʃə ɔɾtənb??k fast ʃoːn iːzoːliːɾt,Somit war das protestantische Ortenburg fast schon isoliert.,Somit war das professionelle Ortsburg fast schon isoliert.
ɡlaɪçə ɛndeːrʊŋsantɾɛːɡə kɑːmən fɔn dɛɾ fraktsjoːn dɛɾ zoːtsiːaldeːmoːkɾɑːtɪʃən paɾtaɪ ɔøroːpɑːs,Gleiche Änderungsanträge kamen von der Fraktion der Sozialdemokratischen Partei Europas.,Gleiche Änderungsanträge kamen von der Fraktion der Sozialdemokratischen Partei Europas.
mɪtə mɛɾts tɾɑːt ɛɾ ɪn tsɑkoːpɑːnə eːɾstmɑːls baɪ aɪnəm kɔntiːnəntɑːl(en)kʌp(de)ʃpɾɪŋən an ʊnt v??də tsvaɪtɜ,Mitte März trat er in Zakopane erstmals bei einem Continental-Cup-Springen an und wurde Zweiter.,Mit Mrz trat er in Zagrebe erstmals bei einem Kommunal-Computer-Spielen an und wurde zweiter.
diːs ɪst laʊt ʃtatfɜvaltʊŋ aɪn aɪɡəns fyːɾ diː maɪntsəlmɛnçən ɡəʃafənɜ tiːtəl,Dies ist laut Stadtverwaltung ein eigens für die Mainzelmännchen geschaffener Titel.,Dies ist laut Stadtverwaltung ein eigens für die meistenmännchen geschaffener Titel.
dɑːhɛɾ bɾaʊxən viːɾ diː rykfɜfɔlɡbaɾkaɪt ʊm deːn ɔɾɡanhandəl aʊx vɪɾklɪç aʊstsuːʃliːsən,"Daher brauchen wir die Rückverfolgbarkeit, um den Organhandel auch wirklich auszuschließen.",Daher brauchen wir die Rückverfolgbarkeit um den Organhandel auch wirklich auszuschließen.
diːzəs ɡəbiːt haɪst deː boːl,"Dieses Gebiet heißt ""De Bol"".",Dieses Gebiet heißt „De Bohl“.
ʊnzɜ vʊndɜkɑtalyːzɑtoːɾ fɛɾvandəlt deːn faɪnʃtaʊp ɪn feːnstaʊp,Unser Wunderkatalysator verwandelt den Feinstaub in Feenstaub.,Unser Wanderkatalysator verwendet den Feinstap in Fenstaub.
diːs ɡalt ɪnsbeːzɔndərə hɪnzɪçtlɪç deːrən frɛmdənfaɪntlɪçɜ ʊnt ʊntɜʃvɛlɪç antiːzeːmiːtɪʃɜ ɡɾʊnthaltʊŋ,"Dies galt insbesondere hinsichtlich deren ""„fremdenfeindlicher und unterschwellig antisemitischer Grundhaltung“"".",Dies galt insbesondere hinsichtlich deren Fremdenfeindlicher und unterschiedlich antisemitischen Grundhaltung.
dɛɾ flaxpoːlyːɡoːnɑːlə apʃlʊs hɪntɜ altɑːɾ ʊnt ɔɾɡəl diːnt dɑːbaɪ als zakɾɪstaɪ,Der flach-polygonale Abschluss hinter Altar und Orgel dient dabei als Sakristei.,Der flach-polygonale Abschloss hinter Alther und Orgel dient dabei als Sakristei.
dɑːrɪn bəʃteːt diː ɔøroːpɛːɪʃə uːnjoːn,Darin besteht die Europäische Union.,Darin besteht die Europäische Union.
diː hamb??ɡɜ vɔxəntsaɪtʊŋ diː tsaɪt fɛɾœfəntlɪçtə ɪn aɪnɜ aʊsɡɑːbə ɡlaɪç dɾaɪ naxruːfə aʊf ravls,Die Hamburger Wochenzeitung Die Zeit veröffentlichte in einer Ausgabe gleich drei Nachrufe auf Rawls.,Die Hamburger Wochenzeit die Zeit veröffentlichte in einer Ausgabe gleich drei Nachruhe auf Rawls.
ɪm ɡlaɪçən jɑːɾ pɾoːduːtsiːɾtə ʊnt araŋʒiːɾtə barɛt diː deːbyːt(en)sɪŋɡəl(de) fɔn (en)ðə(de) ʃanəls,"Im gleichen Jahr produzierte und arrangierte Barrett die Debüt-Single von ""The Channels"".",Im gleichen Jahr produzierte und engagierte Barett die Debüt-Song von The Shows.
diːs ɛɾfɔlkt ɪn dɛɾ reːɡəl ɪndeːm man zɪç an foːɾhandənə ɡɾʊntʃtyksɡɾɛntsən hɛlt,"Dies erfolgt in der Regel, indem man sich an vorhandene Grundstücksgrenzen hält.","Dies erfolgt in der Regel, indem man sich an vorhandene Grundstücksgründen hält."
ɡɔɾɡəs bətɾiːp fiːlə jɑːrə zaɪn hɔbiː als ɑmatɔøɾbɔksɜ,Gorges betrieb viele Jahre sein Hobby als Amateurboxer.,Georgs betrifft viele Jahre sein Hofi als Amateurboxer.
diːzə reːnoːviːɾtən diː dɛstɪleːriː ʊnt ʃtatətən ziː mɪt tsvaɪ bɾɛnblɑːzən nɔø aʊs,Diese renovierten die Destillerie und statteten sie mit zwei Brennblasen neu aus.,Diese rekonstruierten die Demokratie und statteten sie mit zwei Brennblasen neu aus.
zoːvaɪt diː aʊszɑːɡə dɛs pɾɛːziːdɛntən,Soweit die Aussage des Präsidenten.,Soweit die Aussage des Präsidenten.
dɛɾ zoːn lʊdvɪç fɪŋkbaɪnɜ v??də bɛkɜ ʊnt ɛɾvaɪtɜtə diː vɪɾtʃaft ʊm aɪnə bakstuːbə,Der Sohn Ludwig Finkbeiner wurde Bäcker und erweiterte die Wirtschaft um eine Backstube.,Der Sohn Ludwig Finkbauer wurde Becker und erweiterte die Wirtschaft um eine Backtube.
diː bɪldʊŋ jʊŋɜ mɛnʃən ɪst ʊnzrə tsuːkʊnft diː tsuːkʊnft dɛɾ ɡəzamtən ɔøroːpɛːɪʃən uːnjoːn,"Die Bildung junger Menschen ist unsere Zukunft, die Zukunft der gesamten Europäischen Union.",Die Bildung junger Menschen ist unsere Zukunft die Zukunft der gesamten Europäischen Union.
bəraɪts ɪn iːrɜ juːɡənt fɛɾfastə ziː ɡədɪçtə aʊf dɔøtʃ ʊnt frantsøːzɪʃ,Bereits in ihrer Jugend verfasste sie Gedichte auf Deutsch und Französisch.,Bereits in ihrer Jugend verfasste sie Gedichte auf Deutsch und Französisch.
ɪç bədaʊrə ɛs zeːɾ das ziː ɡeːɡən diː rɑtiːfiːtsiːrʊŋ ʃtɪmən vɔlən,"Ich bedaure es sehr, dass Sie gegen die Ratifizierung stimmen wollen.","Ich bedaure es sehr, dass sie gegen die Ratifizierung stimmen wollen."
lɪɡɪoː hatə aɪnə ɡɾʊpə iːm tɾɔø ɛɾɡeːbənɜ jʊŋɜ mɛnɜ ʊm zɪç ɡəʃaɾt,Liggio hatte eine Gruppe ihm treu ergebener junger Männer um sich geschart.,Ligio hatte eine Gruppe ihm treu ergebener junger Männer um sich geschart.
dɛɾ fɛɾaɪnsɪts ʊnt diː bʊndəsɡɛʃɛftsʃtɛlə bəfɪndən zɪç ɪn bɛɾliːn,Der Vereinssitz und die Bundesgeschäftsstelle befinden sich in Berlin.,Der Vereinsitz und die Bundesgeschäftsstelle befinden sich in Berlin.
miːloːzeːviːk tɾɛːkt aɪnə f??çtbɑːrə fɛɾantvɔɾtʊŋ fyːɾ diː fɛɾfɔlɡʊŋ dɛɾ kɔsoːvoːalbɑːnɜ,Milosevic trägt eine furchtbare Verantwortung für die Verfolgung der Kosovo-Albaner.,Milosevic trägt eine pflichtbare Verantwortung für die Verfolgung der Kosovo-Bahner.
aʊf diːzə vaɪzə vɪɾt das ɪmʊnzysteːm ɡəʃvɛçt,Auf diese Weise wird das Immunsystem geschwächt.,Auf diese Weise wird das Immunsystem geschützt.
ɛsɪst zeːɾ ʃveːɾ iːrə aʊfmɛɾkzɑːmkaɪt tsuː ɛɾreːɡən vas tsiːmlɪç frʊstɾiːrənt ɪst,"Es ist sehr schwer, Ihre Aufmerksamkeit zu erregen, was ziemlich frustrierend ist.","Es ist sehr schwer, ihre Aufmerksamkeit zu erregen, was zäglich fruchtbar ist."
ʊm ʊns ɪst ʃandə ʊnt naxt,Um uns ist Schande und Nacht.,Um uns ist Sande und Nacht.
diː eːə dɛs ʃpɑnɪʃən køːnɪçspɑːɾs fɛɾliːf tɾɔts dɛɾ ʃviːrɪɡən fɛɾhɛltnɪsə fɛɾhɛltnɪsmɛːsɪç ɡuːt,Die Ehe des spanischen Königspaars verlief trotz der schwierigen Verhältnisse verhältnismäßig gut.,Die Ehe des spanischen Königspavers verlief trotz der schwierigen Verhältnisse verheblich gut.
dɛɾ ɛntʃpɾɛçəndə fɛɾtɾɑːk hat aɪnə laʊftsaɪt fɔn fynf jɑːrən,Der entsprechende Vertrag hat eine Laufzeit von fünf Jahren.,Der entsprechende Vertrag hat eine Laufzeit von fünf Jahren.
ɪm bʊs kan man vaɪtɜ lɛɾnən bɪs ɛs tsuːɾ nɛçstən ʊntɜbɾɛçʊŋ kɔmt,Im Bus kann man weiter lernen bis es zur nächsten Unterbrechung kommt.,"Im Bus kann man weiter lernen, bis es zur nächsten Unterprüfung kommt."
diːs ɪst ɡlaɪçtsaɪtɪç dɛɾ tsuːʃaʊɜreːkɔɾt fyːɾ das veːzɜstadjoːn,Dies ist gleichzeitig der Zuschauerrekord für das Weserstadion.,Dies ist gleichzeitig der Zuschauerrekord für das Weserstadion.
diː ɛɾʃtaʊstɾaɡʊŋ bəɡan ʊnt ɛndətə ɪn antvɜpən,Die Erstaustragung begann und endete in Antwerpen.,Die Erstatzung begann und endete in Arbeitnehmern.
jeːdɔx ɛɾhiːlt ɛɾ ʃʊts fɔm zɛksɪʃən hoːf ɪn dɾɛsdən,Jedoch erhielt er Schutz vom sächsischen Hof in Dresden.,Jedoch erhielt er Schutz vom sechsischen Hof in Dresden.
foːɾzɪtsəndɜ dɛs peːtiːtsjoːnzaʊsçʊsəs dɛs dɔøtʃən bʊndəstɑːɡəs,Vorsitzender des Petitionsausschusses des Deutschen Bundestages.,Vorsitzender des Präsidentens des Deutschen Bundesstaates.
ɛɾ v??də dɔɾt als ʃpɛtaɪmkeːrɜ ʊnt mɛɾtyːrɜ ɡəfaɪɜt,Er wurde dort als „Spätheimkehrer“ und Märtyrer gefeiert.,Er wurde dort als Spediteur und Mitarbeiter gefertigt.
diː ɡɾapʃtɛtə bəfɪndət zɪç aʊf deːm paɾkfriːthoːf ɪn ɔtɔbɾʊn,Die Grabstätte befindet sich auf dem Parkfriedhof in Ottobrunn.,Die Grabstätte befindet sich auf dem Parkfriedhof in Ostburg.
tsuːnɛçst bəʃɛftɪçtə roːvɜ zɪç mɪt dɛɾ juːɡənt ʊnt bɪldʊŋspoːliːtiːk zoːviː dɛɾ fiːnants ʊnt haʊshaltspoːliːtiːk,Zunächst beschäftigte Rohwer sich mit der Jugend- und Bildungspolitik sowie der Finanz- und Haushaltspolitik.,Zunächst beschäftigte Roher sich mit der Jugend- und Bildungspolitik sowie der Finanz- und Haushaltspolitik.
mɪt iːɾ bɾax heːɡeːman nuːn aʊf ʊm nɑːx aɪnəm lɛŋərən iːtalɪeːnaʊfɛntalt nɑːx dɔøtʃlant tsuːryktsuːkeːrən,"Mit ihr brach Hegemann nun auf, um nach einem längeren Italienaufenthalt nach Deutschland zurückzukehren.","Mit ihr Bruder Heegan nun auf, um nach einem längeren Italien-Aufenthalt nach Deutschland zurückkehren."
zaɪnt toːmɑːs hat aɪnən dɛɾ bɛstən nɑːtuːɾhɛːfən dɛɾ kɑriːbɪk,Saint Thomas hat einen der besten Naturhäfen der Karibik.,Saint Thomas hat einen der besten Naturhäfen der Kritik.
das haʊs zɛlpst ɛɾhiːlt aɪnə ɡɾoːsrɔømɪɡə vasɜ ʊnt bɑdeːanlɑːɡə,Das Haus selbst erhielt eine großräumige Wasser- und Badeanlage.,Das Haus selbst erhielt eine großräumige Wasser- und Badeanlage.
ɛsɪst maɪnəs ɛɾaxtəns jeːdɔx bɛsɜ aɪnə kɛɾtsə antsuːtsyndən als diː dʊnkəlhaɪt tsuː fɛɾflʊxən,"Es ist meines Erachtens jedoch besser eine Kerze anzuzünden, als die Dunkelheit zu verfluchen.","Es ist meines Erachtens jedoch besser eine Kette anzuziehen, als die Dunkelheit zu verflixen."
aʊfɡɾʊnt aɪnəs fɔn deːn dɔøtʃən zoːtsiːalɪstən ɡəʃtɪftətən kɾantsəs kɑːm ɛs tsuː meːrərən tsvɪʃənfɛlən,Aufgrund eines von den deutschen Sozialisten gestifteten Kranzes kam es zu mehreren Zwischenfällen.,Aufgrund eines von den deutschen Sozialisten gestimmten Kreises kam es zu mehreren Zischenfällen.
viːɾ bɾɪŋən diː bant viːdɜ tsuːzamən jʊŋs,"Wir bringen die Band wieder zusammen, Jungs!.",Wir bringen die Band wieder zusammen jungs.
muːziːkɑlɪʃ oːrɪɛntiːɾtə ɛɾ zɪç an bax ʊnt hɛndəl,Musikalisch orientierte er sich an Bach und Händel.,Musikalisch orientierte er sich an Bach und Händel.
zaɪnə eːɾstə aʊsbɪldʊŋ ɛɾhiːlt joːzɛf hɔø an dɛɾ ɡɾɑːtsɜ ɡəvɛɾbɛʃuːlə,Seine erste Ausbildung erhielt Josef Heu an der Grazer Gewerbeschule.,Seine erste Ausbildung erhielt Joseph Heu an der Grafer Gewässerschule.
diː ʃpɔɾteːɑːms dɛɾ valdɔstɑː (en)steɪt juːnɪvɜːsɪti(de) zɪnt diː blɑtsɜs,"Die Sportteams der Valdosta State University sind die ""Blazers"".",Die Sportteams der Waldotra State University sind die Blades.
lɛŋ lɛɾntə das ʃpiːl ɪn pɾiːvɑːtən rʊndən mɪt zaɪnɜ hɔkaɪmanʃaft,Leng lernte das Spiel in privaten Runden mit seiner Hockeymannschaft.,Lang lernte das Spiel in Privaten runden mit seiner Hockeymannschaft.
dɛɾ daxbəraɪç v??də naxtɾɛːklɪç aʊsɡəbaʊt ʊnt mɪt aɪnəm fɛnstɜbant fɛɾzeːən,Der Dachbereich wurde nachträglich ausgebaut und mit einem Fensterband versehen.,Der Dachbereich wurde nachträglich ausgebaut und mit einem Fensterband versehen.
diːzə bəhaʊptʊŋ v??də fɔn dɛɾ faxvəlt aɪnhɛlɪç apɡəleːnt,Diese Behauptung wurde von der Fachwelt einhellig abgelehnt.,Diese Behauptung wurde von der Fachwelt einheitlich abgelehnt.
vɪlhɛlm ɛɾnst hat tsɑːlraɪçə vɪsənʃaftlɪçə aɾbaɪtən pʊbliːtsiːɾt,Wilhelm Ernst hat zahlreiche wissenschaftliche Arbeiten publiziert.,Wilhelm Ernst hat zahlreiche wissenschaftliche Arbeiten publiziert.
joːzeːf ʃvaɾts vɑːɾ ʃtuːdɛnt dɛɾ kɔnzɛɾvatoːriːən ɪn oːdɛsɑː ʊnt zaŋkt peːtɜsb??k,Joseph Schwarz war Student der Konservatorien in Odessa und Sankt Petersburg.,Joseph Schwarz war Student der Konservatoren in Odesa und Sankt Petersburg.
dɛɾ foːɾzɪts vɪɾt zaɪnə aɪɡənən kɔmɛntɑːrə dɑːtsuː apɡeːbən vɛn ɛɾ ɡəleːɡənhaɪt dɑːtsuː ɛɾhɛlt,"Der Vorsitz wird seine eigenen Kommentare dazu abgeben, wenn er Gelegenheit dazu erhält.","Der Vorsitz wird seine eigenen Komponenten dazu abgegeben, wenn er Gelegenheit dazu erhält."
diː lɔøtə mɔxtən deːn fɪlm ʊnt zoː bəɡɑːp zɪç kaʊfmɑːn nɑːx hɔlyːvoːt,Die Leute mochten den Film und so begab sich Kaufman nach Hollywood.,Die Leute mussten den Film und so begab sich Kaufman nach Hollywood.
ɛɾ vɪɾd ɪn diːzɜ tsaɪt mɪt meːrərən pɾaɪzə ʊnt pɾɛːmiːən aʊsɡətsaɪçnət,Er wird in dieser Zeit mit mehreren Preise und Prämien ausgezeichnet.,Er wird in dieser Zeit mit mehreren Preise und Preisen ausgezeichnet.
diː vampə mʊs vɛk maɪnt zœŋkə baɪ aɪnəm blɪk ɪn deːn ʃpiːɡəl,"Die Wampe muss weg, meint Sönke bei einem Blick in den Spiegel.","Die Wampe muss weg, meist süße bei einem Blick in den Spiel."
ziː alə vɛɾdən an deːn paɾlamɛntʃpɾɛːziːdɛntən vaɪtɜɡəlaɪtət,Sie alle werden an den Parlamentspräsidenten weitergeleitet.,Sie alle werden an den Parlamentspräsidenten weitergeleitet.
bɛɾtɑː fɛɾ??zaxtə aʊf deːn zyːtlɪçən kapfɜdən ʃtaɾkə reːɡənfɛlə,Bertha verursachte auf den südlichen Kapverden starke Regenfälle.,Berta verursachte auf den südlichen Kapfern starke Regenfälle.
hɔøtə v??də das boːt ɡəhoːbən ʊnt tsuːɾ zeːbɾykə ɡəʃlɛpt,Heute wurde das Boot gehoben und zur Seebrücke geschleppt.,Heute wurde das Boot gehoben und zur Schwester geschafft.
ziː zɛlpst bətsaɪçnətə roːlant vaʊɜ als aɪnən iːrɜ vɪsənʃaftlɪçən zøːnə,Sie selbst bezeichnete Roland Wauer als einen ihrer „wissenschaftlichen Söhne“.,Sie selbst bezeichnete Rotland weiter als einen ihrer wissenschaftlichen Söhne.
nɑːx deːm kɾiːkzəndə v??də dɔøtʃlant fɔn deːn ziːɡɜmɛçtən bəzɛtst,Nach dem Kriegsende wurde Deutschland von den Siegermächten besetzt.,Nach dem Kriegsende wurde Deutschland von den Siegämten besetzt.
tsʊm nakən hɪn vɪɾt diː fɛɾbʊŋ nɑːeːtsuː ʃvaɾts,Zum Nacken hin wird die Färbung nahezu schwarz.,Zum Nacken hin wird die Verbindung nahezu schwarz.
dɛshalp kan ɪç iːrə frɑːɡə nɪçt bəantvɔɾtən,Deshalb kann ich Ihre Frage nicht beantworten.,Deshalb kann ich ihre Frage nicht beantworten.
ɪn dɛɾ dɪnkɑːʃpɾɑːxə ɡiːpt ɛs fyːɾ jeːdə mʊstɜfaɾpkɔmbiːnatsjoːn aɪnə aɪɡənə bətsaɪçnʊŋ,In der Dinka-Sprache gibt es für jede Muster-Farb-Kombination eine eigene Bezeichnung.,In der Dinka-Sprache gibt es für jede Mutterformunion eine eigene Bezeichnung.
ziː zaɪ aɪnə ɑːɾt ɡeːɡənɡəvɪçt tsuːɾ pzɔødoːvɪsənʃaftlɪçən laɪçtɡlɔøbɪçkaɪt fiːlɜ meːdɪən,Sie sei eine Art Gegengewicht zur „pseudowissenschaftlichen Leichtgläubigkeit“ vieler Medien.,Sie sei eine Art gegengewichtig zur wirtschaftlichen Leitung vieler Medien.
nuːn ɪst jeːns ɡətsvʊŋən iːnən tsuː hɛlfən,"Nun ist Jens gezwungen, ihnen zu helfen.",Nun ist je uns Getzungen ihnen zu helfen.
vɛlçə ɛɾfɑːrʊŋən pɾɛːɡən deːn muːziːkɡɛʃmak aɪnəs mɛnʃən,Welche Erfahrungen prägen den Musikgeschmack eines Menschen?,Welche Erfahrungen treiben den Musikgenus eines Menschen?
dɛɾ anpɾɛsdɾʊk ɪst ɛntʃaɪdənt nɪçt diː daʊɜ,"Der Anpressdruck ist entscheidend, nicht die Dauer.",Der Abschnitt ist entscheidend nicht die Dauer.
nɔøfɜ leːpt ʊnt aɾbaɪtət ɪn bɛɾliːn,Neuffer lebt und arbeitet in Berlin.,Neufer lebt und arbeitet in Berlin.
danax ʃtuːdiːɾtə ɛɾ juːrɑː ʊnt ʃlɔs zaɪn ʃtuːdiːʊm mɪt dɛɾ pɾoːmoːtsjoːn ap,Danach studierte er Jura und schloss sein Studium mit der Promotion ab.,Danach studierte er Jura und schloss sein Studium mit der Promotion ab.
danax vɑːɾ ɛɾ bɪs tsuː zaɪnəm toːt an aɪnəm kɾɛpslaɪdən teːatɜkɾiːtiːkɜ dɛs bɛɾliːnɜ tɑɡɛblats,Danach war er bis zu seinem Tod an einem Krebsleiden Theaterkritiker des Berliner Tageblatts.,Danach war er bis zu seinem Tod an einem kreuzlichen Theaterkünstler des Berliner Tagesblatts.
ɛɾ v??də ɪntɜnatsjoːnɑːl bəkant mɪt ɡɾoːsflɛçɪɡən vandmaleːraɪən ʊnt kɔlɑːɡən,Er wurde international bekannt mit großflächigen Wandmalereien und Collagen.,Er wurde international bekannt mit großflächigen Wandmalereien und Kollagen.
toːmɑːs moːrə vɪɾt ɔft als iːrɪʃɜ natsjoːnɑːldɪçtɜ bətsaɪçnət,Thomas Moore wird oft als irischer Nationaldichter bezeichnet.,Thomas Moore wird oft als ihrer Nationaldarsteller bezeichnet.
daŋkə fyːɾ iːrə antvɔɾt,Danke für Ihre Antwort.,Danke für Ihre Antwort.
aʊsɜdeːm vɑːɾ bəeː masɡeːplɪç an dɛɾ aɪnfyːrʊŋ dɛɾ dɾaɪzeːkʊndənreːɡəl zoːviː dɛɾ ʃɔtklɔk bətaɪlɪçt,Außerdem war Bee maßgeblich an der Einführung der Drei-Sekunden-Regel sowie der Shotclock beteiligt.,Außerdem war bee maßgeblich an der Einführung der Dreigeschossen-Regel sowie der Stolpunkt betätigt.
maɪst hat ɛɾ aʊx aɪnən vaɪsən ʃtɾaɪfən oːbən ɪn dɛɾ hɪntərən kœɾpɜhɛlftə,Meist hat er auch einen weißen Streifen oben in der hinteren Körperhälfte.,"Meist hat er auch einen weißen Schritten, oben in der hinteren Körperhälfte."
ɛɾ ɪst mɪtɡliːt dɛɾ ɡəvɛɾkʃaft œfəntlɪçə diːnstə tɾanspɔɾt ʊnt fɛɾkeːɾ ʊnt dɛɾ aɾbaɪtɜvoːlfɑːɾt,"Er ist Mitglied der Gewerkschaft Öffentliche Dienste, Transport und Verkehr und der Arbeiterwohlfahrt.","Er ist Mitglied der Gesellschaft öffentliche, diverse Transport- und Verkehr und der Arbeitswelt."
miːnuːtə fyːɾ jaɪroː dɑː zɪlvɑː aɪnɡəvɛksəlt v??də,Minute für Jairo da Silva eingewechselt wurde.,Minute für Jairo da Silva eingewechselt wurde.
ɪç kɔmə tsʊm ʃlʊs nɔx dɑːraʊf tsuː ʃpɾɛçən,Ich komme zum Schluss noch darauf zu sprechen.,Ich komme zum Schluss noch darauf zu sprechen.
vɛɾbʊŋ ɪst aɪnə ɡants nɔɾmɑːlə øːkoːnoːmɪʃə tɛːtɪçkaɪt,Werbung ist eine ganz normale ökonomische Tätigkeit.,Währung ist eine ganz natürliche ökonomische Tätigkeit.
ɪn dɛɾ ɑkadeːmiː dɛɾ bɪldəndən kyːnstə ʃtuːdiːɾtə ziː kɔntsɛptuːɛlə kʊnst,In der Akademie der bildenden Künste studierte sie konzeptuelle Kunst.,In der Akademie der Bildenden Künste studierte sie konzertale Kunst.
das ɡəbɔødə ʃteːt hɔøtə leːɾ,Das Gebäude steht heute leer.,Das Gebäude steht heute leer.
